Date,Product,Quantity,Region
2024-10-26,Shirt,17,North
2025-12-22,Jacket,18,West
2025-10-20,Shoes,16,West
2024-01-22,Bag,1,West
2024-03-06,Bag,17,West
2025-12-13,Shoes,11,South
2024-02-05,Pants,10,West
2024-03-11,Jacket,11,West
2025-05-09,Shoes,7,South
2025-03-05,Shirt,20,East
2025-05-18,Hat,11,South
2024-05-16,Jacket,19,West
2024-09-01,Hat,17,West
2024-09-27,Bag,18,East
2025-10-23,Shirt,12,East
2025-08-20,Shoes,15,North
2024-02-09,Watch,16,East
2025-02-07,Hat,20,South
2024-01-09,Shoes,9,South
2025-12-17,Jacket,18,East
2024-04-17,Shirt,19,East
2025-12-04,Watch,16,West
2025-09-04,Bag,5,North
2024-09-08,Hat,12,South
2024-09-12,Shirt,12,West
2024-03-22,Watch,7,North
2025-06-07,Pants,5,West
2025-07-13,Shoes,1,North
2025-03-10,Bag,5,South
2025-07-16,Bag,18,South
2025-01-25,Pants,8,North
2024-06-24,Shirt,2,North
2024-09-07,Hat,1,East
2025-09-13,Bag,17,North
2025-04-10,Shirt,9,West
2024-03-25,Watch,14,East
2024-12-16,Pants,8,North
2025-08-11,Shirt,14,North
2024-04-08,Shoes,19,East
2025-10-21,Pants,16,South
2025-03-12,Bag,7,West
2025-07-06,Hat,1,East
2024-02-22,Hat,14,East
2025-01-08,Shoes,3,South
2024-09-14,Watch,4,South
2025-07-15,Watch,19,West
2025-05-02,Watch,10,East
2025-05-02,Shirt,15,East
2024-06-04,Jacket,17,South
2025-11-21,Shoes,11,East
2025-07-02,Shoes,4,East
2025-04-17,Watch,7,West
2024-11-12,Bag,1,North
2024-07-06,Bag,9,North
2025-05-15,Shirt,16,North
2024-09-12,Pants,3,West
2024-01-22,Jacket,11,East
2025-08-11,Shoes,17,West
2025-04-22,Pants,16,West
2025-06-03,Watch,4,West
2025-11-29,Watch,18,North
2024-11-22,Shoes,18,East
2025-09-17,Bag,2,North
2024-11-26,Jacket,7,South
2025-06-08,Jacket,4,East
2024-11-17,Bag,1,East
2024-01-22,Jacket,14,West
2024-04-26,Shirt,17,East
2025-08-11,Shirt,9,South
2025-03-09,Shirt,20,North
2024-11-07,Bag,16,South
2025-07-26,Shoes,20,North
2024-03-27,Watch,4,East
2025-11-24,Watch,16,South
2024-01-15,Shoes,19,North
2024-12-22,Shirt,17,North
2024-09-06,Watch,17,East
2024-09-13,Jacket,6,East
2024-10-09,Watch,20,East
2024-06-23,Hat,14,East
2024-07-26,Shirt,10,South
2025-05-24,Shirt,13,North
2025-09-09,Watch,6,East
2024-10-03,Bag,3,East
2024-08-13,Jacket,2,West
2024-01-23,Jacket,17,North
2024-11-04,Pants,13,West
2024-11-25,Bag,13,East
2024-05-16,Bag,7,North
2024-07-19,Jacket,20,West
2024-02-18,Pants,1,South
2024-10-22,Bag,4,West
2024-07-03,Shoes,4,East
2025-11-16,Shirt,8,North
2025-10-24,Bag,10,North
2025-03-20,Bag,2,West
2025-04-12,Hat,4,North
2024-06-08,Jacket,1,East
2024-04-11,Shoes,17,North
2024-06-20,Watch,6,North
2025-09-02,Bag,9,West
2025-06-27,Watch,1,West
2025-06-03,Jacket,1,West
2025-11-03,Bag,12,South
2024-11-03,Pants,8,North
2024-05-04,Shoes,4,West
2024-08-25,Hat,16,North
2024-08-01,Jacket,19,North
2025-11-17,Shirt,5,East
2025-12-31,Shoes,3,South
2024-08-13,Jacket,16,North
2024-05-01,Hat,2,West
2024-03-07,Jacket,6,South
2024-11-02,Pants,6,North
2024-02-02,Jacket,11,North
2025-06-25,Shirt,9,North
2025-05-18,Shoes,6,South
2024-03-14,Jacket,2,West
2025-12-28,Bag,13,East
2025-02-06,Shoes,8,North
2024-06-14,Watch,16,West
2024-01-18,Shoes,19,West
2024-07-21,Hat,9,East
2025-12-25,Shoes,2,East
2025-11-17,Bag,5,South
2025-07-23,Pants,17,West
2025-10-08,Jacket,20,South
2025-12-04,Shirt,1,South
2025-09-14,Watch,1,South
2024-02-01,Jacket,6,South
2024-09-02,Watch,17,South
2025-04-12,Shoes,15,South
2024-07-19,Hat,11,East
2024-02-02,Shoes,11,West
2025-03-28,Shoes,8,East
2025-06-20,Jacket,6,West
2024-08-07,Jacket,4,West
2025-07-03,Watch,8,North
2024-01-30,Watch,17,West
2024-09-23,Jacket,5,West
2025-10-27,Watch,2,North
2025-10-19,Shirt,11,South
2025-05-31,Shoes,18,East
2024-12-21,Shirt,19,North
2025-09-12,Pants,20,North
2025-08-21,Pants,8,East
2024-08-23,Pants,15,North
2025-09-10,Shoes,11,East
2024-09-04,Bag,10,West
2025-11-06,Shoes,14,West
2024-05-01,Jacket,12,South
2024-08-30,Watch,12,North
2024-03-01,Pants,13,East
2024-04-13,Shoes,11,North
2024-04-03,Bag,7,North
2025-01-06,Bag,18,West
2025-05-01,Hat,3,East
2025-11-12,Hat,1,East
2025-05-10,Pants,14,North
